int_rate,installment,open_acc,revol_bal,revol_util,total_acc,bad_loans,grade_num
10.65,162.87,3,13648,83.7,9,0,5
15.27,59.83,3,1687,9.4,4,1,4
15.96,84.33,2,2956,98.5,10,0,4
13.49,339.31,10,5598,21,37,0,4
7.9,156.46,9,7963,28.3,12,0,6
18.64,109.43,4,8221,87.5,4,0,2
21.28,152.39,11,5210,32.6,13,1,1
12.69,121.45,2,9279,36.5,3,1,5
14.65,153.45,14,4032,20.6,23,0,4
12.69,402.54,12,23336,67.1,34,0,5
13.49,305.38,4,10452,91.7,9,1,4
9.91,96.68,11,7323,43.1,11,0,5
10.65,325.74,14,11997,55.5,29,1,5
16.29,35.31,11,6524,81.5,23,0,3
15.27,347.98,14,24043,70.2,28,0,4
6.03,109.57,20,22836,16,42,0,6
6.03,280.01,8,7314,23.1,28,0,6
12.42,701.73,7,32135,90.3,38,1,5
11.71,330.76,8,10056,82.4,21,0,5
11.71,330.76,6,17800,91.8,17,0,5
11.71,198.46,7,5963,29.7,7,1,5
9.91,483.38,8,13707,93.9,31,0,5
14.27,514.64,7,5872,57.6,11,1,4
16.77,123.65,14,4345,59.5,22,1,3
11.71,132.31,12,6110,37.7,44,0,5
11.71,281.15,8,6441,59.1,12,0,5
7.51,136.11,6,11210,86.9,12,0,6
7.9,995.82,12,23151,27.4,26,0,6
8.9,158.77,8,2224,29.3,16,0,6
15.96,245.97,6,6113,60.5,6,0,4
10.65,403.91,9,11095,57.2,12,0,5
9.91,348.03,7,2535,13.3,18,0,5
7.9,469.36,7,6704,50.4,27,0,6
12.42,200.5,7,7310,66.5,12,0,5
7.51,298.67,6,2896,18.1,11,0,6
7.9,375.49,15,8601,21,25,0,6
18.25,108.84,8,43936,98.1,22,0,3
16.77,156.37,7,25237,99,11,0,3
6.03,182.62,6,3378,32.5,28,0,6
9.91,451.15,7,2219,13.4,40,0,5
8.9,158.77,17,74351,62.1,35,1,6
10.65,325.74,7,7814,52.3,10,0,5
6.03,304.36,11,14019,19.5,18,0,6
6.62,337.75,5,11638,36.4,7,0,6
9.91,483.38,9,11845,63.7,28,1,5
9.91,824.96,11,26088,62,27,0,5
10.65,228.02,7,12168,92.9,12,0,5
15.96,421.65,11,15793,90.8,11,1,4
9.91,386.7,11,12143,52.1,12,0,5
19.91,555.33,7,19448,97.6,14,1,2
19.91,423.11,12,27884,75.1,21,0,2
12.42,334.16,5,12874,72.7,10,0,5
10.65,325.74,10,10160,59.1,24,0,5
16.77,252.33,4,6021,91.2,8,0,3
14.65,417.25,6,6661,57.4,14,0,4
16.77,284.31,14,6088,66.9,20,0,3
10.65,114.01,9,6611,45.9,12,0,5
17.27,223.11,7,9844,70.8,28,1,3
14.27,563.53,10,15747,83.4,18,0,4
21.28,223.14,6,9012,73.9,11,1,1
14.65,517.42,8,19397,79.5,18,0,4
17.58,341.63,13,20657,79.4,21,0,3
16.77,227.45,9,7159,67.5,27,1,3
13.49,101.8,4,2745,83.2,7,0,4
16.77,426.47,13,11443,97,19,0,3
8.9,457.25,12,63864,55,38,0,6
14.65,413.94,12,17116,78.5,36,0,4
13.49,373.24,15,11382,65,29,0,4
21.67,197.51,9,21706,91.2,19,0,1
7.9,469.36,11,1616,6.7,29,0,6
19.91,475.99,10,11745,77.8,40,0,2
17.27,551.84,11,7334,53.3,31,0,3
14.27,343.09,9,11303,81.3,15,0,4
