loan_amnt,funded_amnt,funded_amnt_inv,int_rate,installment,annual_inc,dti,delinq_2yrs,inq_last_6mths,open_acc,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_amnt,bad_loans,emp_length_num,grade_num,sub_grade_num,delinq_2yrs_zero,payment_inc_ratio
5000,5000,4975,10.65,162.87,24000,27.65,0,1,3,5861.07,5831.78,5000,861.07,0,0,0,171.62,0,11,5,0.4,1,8.1435
2500,2500,2500,15.27,59.83,30000,1,0,5,3,1008.71,1008.71,456.46,435.17,0,117.08,1.11,119.66,1,1,4,0.8,1,2.3932
2400,2400,2400,15.96,84.33,12252,8.72,0,2,2,3003.65,3003.65,2400,603.65,0,0,0,649.91,0,11,4,1,1,8.25955
10000,10000,10000,13.49,339.31,49200,20,0,1,10,12226.3,12226.3,10000,2209.33,16.97,0,0,357.48,0,11,4,0.2,1,8.27585
5000,5000,5000,7.9,156.46,36000,11.2,0,3,9,5631.38,5631.38,5000,631.38,0,0,0,161.03,0,4,6,0.8,1,5.21533
3000,3000,3000,18.64,109.43,48000,5.35,0,2,4,3938.14,3938.14,3000,938.14,0,0,0,111.34,0,10,2,0.2,1,2.73575
5600,5600,5600,21.28,152.39,40000,5.55,0,2,11,646.02,646.02,162.02,294.94,0,189.06,2.09,152.39,1,5,1,0.4,1,4.5717
5375,5375,5350,12.69,121.45,15000,18.08,0,0,2,1476.19,1469.34,673.48,533.42,0,269.29,2.52,121.45,1,1,5,1,1,9.716
6500,6500,6500,14.65,153.45,72000,16.12,0,2,14,7677.52,7677.52,6500,1177.52,0,0,0,1655.54,0,6,4,0.6,1,2.5575
12000,12000,12000,12.69,402.54,75000,10.78,0,0,12,13943.1,13943.1,12000,1943.08,0,0,0,6315.3,0,11,5,1,1,6.44064
9000,9000,9000,13.49,305.38,30000,10.08,0,1,4,2270.7,2270.7,1256.14,570.26,0,444.3,4.16,305.38,1,1,4,0.2,1,12.2152
3000,3000,3000,9.91,96.68,15000,12.56,0,2,11,3478.98,3478.98,3000,478.98,0,0,0,102.43,0,4,5,0.2,1,7.7344
10000,10000,10000,10.65,325.74,100000,7.06,0,2,14,7471.99,7471.99,5433.47,1393.42,0,645.1,6.3145,325.74,1,4,5,0.4,1,3.90888
1000,1000,1000,16.29,35.31,28000,20.31,0,1,11,1270.17,1270.17,1000,270.17,0,0,0,36.32,0,1,3,0.2,1,1.51329
10000,10000,10000,15.27,347.98,42000,18.6,0,2,14,12519.3,12519.3,10000,2519.26,0,0,0,370.46,0,5,4,0.8,1,9.94229
3600,3600,3600,6.03,109.57,110000,10.52,0,0,20,3785.02,3785.02,3600,185.02,0,0,0,583.45,0,11,6,0.2,1,1.19531
6000,6000,6000,11.71,198.46,84000,18.44,2,0,4,7164.5,7164.5,6000,1149.5,15,0,0,16.98,0,2,5,0.6,0,2.83514
9200,9200,9200,6.03,280.01,77385,9.86,0,0,8,9459.96,9459.96,9200,259.96,0,0,0,8061.1,0,7,6,0.2,1,4.34208
21000,21000,21000,12.42,701.73,105000,13.22,0,0,7,14025.4,14025.4,10695,3330.44,0,0,0,701.73,1,11,5,0.8,1,8.01977
10000,10000,10000,11.71,330.76,50000,11.18,0,0,8,11902.6,11902.6,10000,1902.56,0,0,0,349.21,0,11,5,0.6,1,7.93824
